Application Number,Application Date,Application Type,Address,Object Status Type,Application Status,File Lead,Brief Description,Object Status Date,Ward #,Ward,
D07-12-23-0014,2023-02-08,Site Plan Control,2040 ARROWSMITH Drive,Initial Review Comments Sent,Active,Lucy Ramirez,"Construction of a new 6-storey, 50-unit affordable rental apartment building for indigenous seniors and persons experiencing disabilities, with accessory office space for the operation of the apartments, support staff from March of Dimes Canada, and a new space for the Gloucester Emergency Food Cupboard (GEFC(",2023-06-08 11:00,Ward 11,BEACON HILL-CYRVILLE,
D07-12-23-0015,2023-02-08,Site Plan Control,19 CENTREPOINTE Drive,Agreement Registered - Final Legal Clearance Given,Post Approval,Lisa Stern,"The approved development is proposed to the revised to a mixed-use apartment building development with two towers consisting of 21 and 23 storeys, connected by a two (2) storey podium.  Revisions include lower tower and podium heights; reduced building footprint, tower floorplate areas, and total gross floor area; and relocations of landscaping, amenity space and at-grade commercial space.",2023-05-29 10:53,Ward 8,COLLEGE,
D07-12-23-0016,2023-02-16,Site Plan Control,30 AURIGA Drive,Resubmission Review Completed,Active,Samantha Gatchene,"Warehouse building consisting of warehouse and subsidiary office.  Building area: 1042.5 sqm. 
warehouse area 794 sqm, Office area 248.5 sqm; Warehouse 1 storey, office 2 storeys.  20 exterior parking spaces (one accessible parking space). Driveway for a WB-20 truck with access to loading/unloading in the back.",2023-06-09 10:30,Ward 9,KNOXDALE-MERIVALE,
D07-12-23-0016,2023-02-16,Site Plan Control,30 AURIGA Drive,Resubmission Review Completed,Active,Samantha Gatchene,"Warehouse building consisting of warehouse and subsidiary office.  Building area: 1042.5 sqm. 
warehouse area 794 sqm, Office area 248.5 sqm; Warehouse 1 storey, office 2 storeys.  20 exterior parking spaces (one accessible parking space). Driveway for a WB-20 truck with access to loading/unloading in the back.",2023-06-09 10:30,Ward 9,KNOXDALE-MERIVALE,
D07-12-23-0016,2023-02-16,Site Plan Control,30 AURIGA Drive,Resubmission Review Completed,Active,Samantha Gatchene,"Warehouse building consisting of warehouse and subsidiary office.  Building area: 1042.5 sqm. 
warehouse area 794 sqm, Office area 248.5 sqm; Warehouse 1 storey, office 2 storeys.  20 exterior parking spaces (one accessible parking space). Driveway for a WB-20 truck with access to loading/unloading in the back.",2023-06-09 10:30,Ward 9,KNOXDALE-MERIVALE,
D07-12-23-0017,2023-02-22,Site Plan Control,1591 MICHAEL Street,On Circulation; Initial Submission Review,Active,Kelby Lodoen Unseth,"The City of Ottawa has received a Site Plan Control application to facilitate the development a 3800 m2 light industrial building containing two units. One unit will be a warehouse use, with the other being a light industrial use. 31 parking spaces will be created on site.",2023-04-20 09:01,Ward 18,ALTA VISTA,
D07-12-23-0017,2023-02-22,Site Plan Control,1611 MICHAEL Street,On Circulation; Initial Submission Review,Active,Kelby Lodoen Unseth,"The City of Ottawa has received a Site Plan Control application to facilitate the development a 3800 m2 light industrial building containing two units. One unit will be a warehouse use, with the other being a light industrial use. 31 parking spaces will be created on site.",2023-04-20 09:01,Ward 18,ALTA VISTA,
D07-04-23-0002,2023-02-22,Plan of Condominium,585 BOBOLINK Ridge,Comment Period in Progress,Active,Samantha Gatchene,A Plan of Condominium application to establish common ownership for the private roadways and all shared services and site elements within a planned unit development of 72 back-to-back townhouse units.,2023-06-19 10:44,Ward 6,STITTSVILLE,
D07-12-23-0018,2023-02-22,Site Plan Control,1881 MERIVALE Road,Initial Review Comments Sent,Active,Kieran Watson,"Proposing 2 warehouse buildings with 87 parking spaces, and loading docks.",2023-04-27 10:39,Ward 9,KNOXDALE-MERIVALE,
D07-12-23-0018,2023-02-22,Site Plan Control,1881 MERIVALE Road,Initial Review Comments Sent,Active,Kieran Watson,"Proposing 2 warehouse buildings with 87 parking spaces, and loading docks.",2023-04-27 10:39,Ward 9,KNOXDALE-MERIVALE,
D07-12-23-0018,2023-02-22,Site Plan Control,1883 MERIVALE Road,Initial Review Comments Sent,Active,Kieran Watson,"Proposing 2 warehouse buildings with 87 parking spaces, and loading docks.",2023-04-27 10:39,Ward 9,KNOXDALE-MERIVALE,
D07-12-23-0019,2023-02-23,Site Plan Control,314 ATHLONE Avenue,Application Deemed Adequate,Active,Jean-Charles Renaud,"The City of Ottawa has received a Site Plan Control application to construct two, fortystorey high-rise residential apartment buildings, with a total of 856 units. The development will include a total of 418 parking spaces, and 630 bicycle parking spaces.",2023-05-02 10:45,Ward 15,KITCHISSIPPI,
D07-12-23-0019,2023-02-23,Site Plan Control,318 ATHLONE Avenue,Application Deemed Adequate,Active,Jean-Charles Renaud,"The City of Ottawa has received a Site Plan Control application to construct two, fortystorey high-rise residential apartment buildings, with a total of 856 units. The development will include a total of 418 parking spaces, and 630 bicycle parking spaces.",2023-05-02 10:45,Ward 15,KITCHISSIPPI,
D07-12-23-0019,2023-02-23,Site Plan Control,2006 SCOTT Street,Application Deemed Adequate,Active,Jean-Charles Renaud,"The City of Ottawa has received a Site Plan Control application to construct two, fortystorey high-rise residential apartment buildings, with a total of 856 units. The development will include a total of 418 parking spaces, and 630 bicycle parking spaces.",2023-05-02 10:45,Ward 15,KITCHISSIPPI,
D07-12-23-0019,2023-02-23,Site Plan Control,2020 SCOTT Street,Application Deemed Adequate,Active,Jean-Charles Renaud,"The City of Ottawa has received a Site Plan Control application to construct two, fortystorey high-rise residential apartment buildings, with a total of 856 units. The development will include a total of 418 parking spaces, and 630 bicycle parking spaces.",2023-05-02 10:45,Ward 15,KITCHISSIPPI,
D07-12-23-0019,2023-02-23,Site Plan Control,2026 SCOTT Street,Application Deemed Adequate,Active,Jean-Charles Renaud,"The City of Ottawa has received a Site Plan Control application to construct two, fortystorey high-rise residential apartment buildings, with a total of 856 units. The development will include a total of 418 parking spaces, and 630 bicycle parking spaces.",2023-05-02 10:45,Ward 15,KITCHISSIPPI,
D02-02-23-0011,2023-02-23,Zoning By-law Amendment,112 NELSON Street,Revision Request Received,Active,Adrian Van Wyk,The propsed  residential uses are not appropriate for the general industrial zone and therefore a major zoning by-law amendment is requested to rezone.  134 Nelson to a residential zone.  Minimum Resident Vehicle Parking:  The developer is seeking a reduction of the minimum resident parking from the required minimum of 164 spaces to 18 spaces.  Rear Yard Setback:  The proposed reduction in the required rear yard is to accommodate to low retaining wall along the rear property line.  The wall is constructed as part of the foundation and therefore is considered part of the month building and not a landscaped feature.  The actual setback for the proposed setback for the proprosed building complies with Schedule 421,2023-07-18 16:26,Ward 12,RIDEAU-VANIER,
D02-02-23-0011,2023-02-23,Zoning By-law Amendment,134 NELSON Street,Revision Request Received,Active,Adrian Van Wyk,The propsed  residential uses are not appropriate for the general industrial zone and therefore a major zoning by-law amendment is requested to rezone.  134 Nelson to a residential zone.  Minimum Resident Vehicle Parking:  The developer is seeking a reduction of the minimum resident parking from the required minimum of 164 spaces to 18 spaces.  Rear Yard Setback:  The proposed reduction in the required rear yard is to accommodate to low retaining wall along the rear property line.  The wall is constructed as part of the foundation and therefore is considered part of the month building and not a landscaped feature.  The actual setback for the proposed setback for the proprosed building complies with Schedule 421,2023-07-18 16:26,Ward 12,RIDEAU-VANIER,
D02-02-23-0012,2023-02-27,Zoning By-law Amendment,40 CARLISLE Circle,Zoning By-law in Effect,Inactive,Luke Teeft,The Zoning By-Law Amendment is being sought in order to satify Conditions 7 and 8 of provisional consent for application D08-01-22/B*00309 and rezone to RR2 so that the residential lot will comply with minimum zoning provisions and to rezone the driving range portion to 01A in keeping with the current zoning of the remainder of CGCC lands.,2023-07-06 10:22,Ward 21,RIDEAU-JOCK,
D02-02-23-0012,2023-02-27,Zoning By-law Amendment,40 CARLISLE Circle,Zoning By-law in Effect,Inactive,Luke Teeft,The Zoning By-Law Amendment is being sought in order to satify Conditions 7 and 8 of provisional consent for application D08-01-22/B*00309 and rezone to RR2 so that the residential lot will comply with minimum zoning provisions and to rezone the driving range portion to 01A in keeping with the current zoning of the remainder of CGCC lands.,2023-07-06 10:22,Ward 21,RIDEAU-JOCK,
D07-12-23-0023,2023-03-01,Site Plan Control,1050 TAWADINA Road,On Circulation; Initial Submission Review,Active,John Bernier,"The proposed development consists of two 9-storey mid-rise apartment buildings containing underground and surface parking.  The building on the northwestern side of the site (Building A) will be nine storeys with 144 units, while the building on the south eastern portion of the property (Building B) will be nine storeys with 110 units for a total unit count of 254 units.  The buildings will be oriented to frame a central courtyard containing greenspace, a gym, and a gravel dog run area.  A walkway is also proposed that will blsect the site along a right-of-way providing convenient pedestrian circulation through the site.",2023-03-30 11:50,Ward 13,RIDEAU-ROCKCLIFFE,
D02-02-23-0014,2023-03-01,Zoning By-law Amendment,1086 ANTOCHI Lane,Comment Period in Progress,Active,Jeffrey C Ostafichuk,To permit planned unit development and semi-detached dwelling uses and to reduce the interior side yard setback.,2023-07-10 13:20,Ward 21,RIDEAU-JOCK,
D07-16-23-0003,2023-03-01,Plan of Subdivision,1086 ANTOCHI Lane,Comment Period in Progress,Active,Jeffrey C Ostafichuk,Plan of Subdivision - Planned Unit Development comprising 19 dwellings (18 semi-detached and one detached) on a private street.,2023-07-07 15:17,Ward 21,RIDEAU-JOCK,
D07-12-23-0025,2023-03-02,Site Plan Control,4200 INNES Road,Initial Review Comments Sent,Active,Kelly Livingstone,"Our client is proposing to redevelopment the lot with a four (4) storey 256 bed long term care facility (14,051 square feet of GFA), with 110 parking spaces, 7 accessible spaces, 16 bicycle spaces, a green space to the rear yard of the property (north side), and two access points (one of Noella Leclair St, the other off of Lady Pellott Street.",2023-05-16 15:18,Ward 19,ORLÉANS SOUTH-NAVAN,
D07-12-23-0025,2023-03-02,Site Plan Control,"1001 NOELLA LECLAIR, RUE ",Initial Review Comments Sent,Active,Kelly Livingstone,"Our client is proposing to redevelopment the lot with a four (4) storey 256 bed long term care facility (14,051 square feet of GFA), with 110 parking spaces, 7 accessible spaces, 16 bicycle spaces, a green space to the rear yard of the property (north side), and two access points (one of Noella Leclair St, the other off of Lady Pellott Street.",2023-05-16 15:18,Ward 19,ORLÉANS SOUTH-NAVAN,
D07-12-23-0024,2023-03-02,Site Plan Control,7248 BANK Street,On Circulation; Initial Submission Review,Active,Sean Harrigan,"We, the owners wish to construct a 12.8m wide by 31.7m long unheated storage structure for lumber.  The building will have no services and a gravel base.  The structure is proposed to consist of fabric hoop on posts cemented into the ground.  Both ends will be closed in and have 4.2m overhead steel doors along with person walk through doors.  Surrounding areas around structure will continue to have a gravel base.",2023-06-06 10:54,Ward 20,OSGOODE,
D02-02-23-0013,2023-02-28,Zoning By-law Amendment,84 GLOUCESTER Street,Comment Period in Progress,Active,Eric Forhan,"A Zoning By-law Amendment application to permit the redevelopment of the subject property for a 27-storey mixed-use building, consisting of retail space, 315 dwelling units, 315 enclosed bicycle parking spaces and 98 underground parking spaces.",2023-04-20 08:04,Ward 14,SOMERSET,
D02-02-23-0013,2023-02-28,Zoning By-law Amendment,100 GLOUCESTER Street,Comment Period in Progress,Active,Eric Forhan,"A Zoning By-law Amendment application to permit the redevelopment of the subject property for a 27-storey mixed-use building, consisting of retail space, 315 dwelling units, 315 enclosed bicycle parking spaces and 98 underground parking spaces.",2023-04-20 08:04,Ward 14,SOMERSET,
D07-12-23-0021,2023-02-28,Site Plan Control,84 GLOUCESTER Street,On Circulation; Initial Submission Review,Active,Eric Forhan,"A Site Plan Control application to permit the redevelopment of the subject property for a 27-storey mixed-use building, consisting of retail space, 315 dwelling units, 315 enclosed bicycle parking spaces and 98 underground parking spaces.",2023-04-20 08:05,Ward 14,SOMERSET,
D07-12-23-0021,2023-02-28,Site Plan Control,100 GLOUCESTER Street,On Circulation; Initial Submission Review,Active,Eric Forhan,"A Site Plan Control application to permit the redevelopment of the subject property for a 27-storey mixed-use building, consisting of retail space, 315 dwelling units, 315 enclosed bicycle parking spaces and 98 underground parking spaces.",2023-04-20 08:05,Ward 14,SOMERSET,
D07-12-22-0168,2022-12-07,Site Plan Control,930 CARLING Avenue,Application File Pending,File Pending,Stream Shen,"The development proposed are Phase 3 and Phase 4 of The Ottawa Hospital Master Site Plan:  Phase 3 is the CUP (Central Utility Plant containing electrical, heating, and cooling equipment, located at the rear of the hospital - Phase 4 is the hospital main building consists of 2-storey podium, two towers (8-12 storey) and pavilion flanking main entrance)",2023-05-31 16:00,Ward 16,RIVER,
D07-12-22-0168,2022-12-07,Site Plan Control,520 PRESTON Street,Application File Pending,File Pending,Stream Shen,"The development proposed are Phase 3 and Phase 4 of The Ottawa Hospital Master Site Plan:  Phase 3 is the CUP (Central Utility Plant containing electrical, heating, and cooling equipment, located at the rear of the hospital - Phase 4 is the hospital main building consists of 2-storey podium, two towers (8-12 storey) and pavilion flanking main entrance)",2023-05-31 16:00,Ward 16,RIVER,
D07-16-22-0025,2022-12-08,Plan of Subdivision,444 CITIGATE Drive,Comment Period in Progress,Active,Kelby Lodoen Unseth,Plan of Subdivision,2023-02-06 11:47,Ward 3,BARRHAVEN WEST,
D07-16-22-0025,2022-12-08,Plan of Subdivision,560 DEALERSHIP Drive,Comment Period in Progress,Active,Kelby Lodoen Unseth,Plan of Subdivision,2023-02-06 11:47,Ward 3,BARRHAVEN WEST,
D02-02-22-0117,2022-12-08,Zoning By-law Amendment,444 CITIGATE Drive,Comment Period in Progress,Active,Kelby Lodoen Unseth,"Zoning Amendment to add the warehouse use to 444 Citigate and 560 Dealership Dr., possibly zone conservation area to Open Space; and lft holding symbol off both properties.",2023-02-06 11:46,Ward 3,BARRHAVEN WEST,
D02-02-22-0117,2022-12-08,Zoning By-law Amendment,560 DEALERSHIP Drive,Comment Period in Progress,Active,Kelby Lodoen Unseth,"Zoning Amendment to add the warehouse use to 444 Citigate and 560 Dealership Dr., possibly zone conservation area to Open Space; and lft holding symbol off both properties.",2023-02-06 11:46,Ward 3,BARRHAVEN WEST,
D07-12-22-0169,2022-12-12,Site Plan Control,1515 EARL ARMSTRONG Road,On Circulation; Initial Submission Review,Active,Tracey Scaramozzino,"The development of 12 commercial building for a total of 12,762m2 (137,370 ft2)",2023-01-17 14:36,Ward 22,RIVERSIDE SOUTH-FINDLAY CREEK,
D07-12-22-0170,2022-12-13,Site Plan Control,401 SMYTH Road,Preliminary Consensus,Active,Melanie Gervais,Seven storey parking structure with 1050 spots,2023-05-18 11:46,Ward 18,ALTA VISTA,
D07-12-22-0170,2022-12-13,Site Plan Control,401 SMYTH Road,Preliminary Consensus,Active,Melanie Gervais,Seven storey parking structure with 1050 spots,2023-05-18 11:46,Ward 18,ALTA VISTA,
D02-02-22-0118,2022-12-13,Zoning By-law Amendment,4386 RIDEAU VALLEY Drive,Application File Pending,File Pending,Erica Ogden,"The City of Ottawa has received a Zoning By-law Amendment and Plan of Subdivision application to accommodate the development of a 147-unit (approximate) residential subdivision, in a mix of detached, semi-detached and townhouses, on municipal services.",2023-05-29 13:38,Ward 21,RIDEAU-JOCK,
D07-16-22-0026,2022-12-13,Plan of Subdivision,4386 RIDEAU VALLEY Drive,Application File Pending,File Pending,Erica Ogden,"The City of Ottawa has received a Zoning By-law Amendment and Plan of Subdivision application to accommodate the development of a 147-unit (approximate) residential subdivision, in a mix of detached, semi-detached and townhouses, on municipal services.",2023-05-29 13:37,Ward 21,RIDEAU-JOCK,
D07-04-22-0019,2022-12-13,Plan of Condominium,4800 BANK Street,Comment Period in Progress,Active,Tracey Scaramozzino,"The subject site is designated General Urban Area per Schedule B of the Official Plan.  The General Urban Area designation permits all types of densities and housing, as well as employment, retail uses, service, industrial, cultural, leisure, greenspace, enterainment and institutional uses.  The proposed townhouse dwellings are permitted within the General Urban Area. The common element condominium application does not change the intent of the proposed residential use already approved through Site Plan Control.",2023-06-12 10:24,Ward 22,RIVERSIDE SOUTH-FINDLAY CREEK,
D07-12-22-0174,2022-12-15,Site Plan Control,60 DENZIL DOYLE Court,Resubmission Review Completed,Active,Alex Gatien,Single storey self storage warehouse are proposed to be constructed building that will also contain ancillary administrative space for self storage use,2023-05-25 13:10,Ward 23,KANATA SOUTH,
D07-16-22-0028,2022-12-19,Plan of Subdivision,3285 BORRISOKANE Road,Comment Period in Progress,Active,Melanie Gervais,"Application #'s D07-16-20-0021, D02-02-21-0143",2023-02-13 09:19,Ward 3,BARRHAVEN WEST,
D07-16-22-0028,2022-12-19,Plan of Subdivision,3288 BORRISOKANE Road,Comment Period in Progress,Active,Melanie Gervais,"Application #'s D07-16-20-0021, D02-02-21-0143",2023-02-13 09:19,Ward 3,BARRHAVEN WEST,
D07-16-22-0028,2022-12-19,Plan of Subdivision,3305 BORRISOKANE Road,Comment Period in Progress,Active,Melanie Gervais,"Application #'s D07-16-20-0021, D02-02-21-0143",2023-02-13 09:19,Ward 3,BARRHAVEN WEST,
D02-02-22-0120,2022-12-19,Zoning By-law Amendment,3285 BORRISOKANE Road,Comment Period in Progress,Active,Melanie Gervais,"Application #'s D07-16-20-0021, D02-02-21-0143",2023-02-13 09:18,Ward 3,BARRHAVEN WEST,
D02-02-22-0120,2022-12-19,Zoning By-law Amendment,3288 BORRISOKANE Road,Comment Period in Progress,Active,Melanie Gervais,"Application #'s D07-16-20-0021, D02-02-21-0143",2023-02-13 09:18,Ward 3,BARRHAVEN WEST,
D02-02-22-0120,2022-12-19,Zoning By-law Amendment,3305 BORRISOKANE Road,Comment Period in Progress,Active,Melanie Gervais,"Application #'s D07-16-20-0021, D02-02-21-0143",2023-02-13 09:18,Ward 3,BARRHAVEN WEST,
D07-12-22-0175,2022-12-16,Site Plan Control,864 LADY ELLEN Place,Initial Review Comments Sent,Active,Craig Hamilton,Two (2) new storage warehouse are proposed to be constructed. First building A will be four storey in height for self storage units. Second  building B will be one storey and containing storage units,2023-04-27 09:29,Ward 16,RIVER,
D02-02-22-0122,2022-12-20,Zoning By-law Amendment,0  ,Zoning By-law in Effect,Inactive,Mitchell Lesage,Omnibus Report to make minor amendments to clarify and correct provisions of Zoning By-law 2008-250,2023-06-05 08:39,City Wide,,
D07-12-22-0176,2022-12-20,Site Plan Control,407 SMYTH Road,Agreement sent,Post Approval,Melanie Gervais,The proposal is to build a 3 storey addition that provide an additional 22 guest suites and is linked to the current Ronald McDonald House on the CHEO land,2023-07-18 14:56,Ward 18,ALTA VISTA,
D07-12-22-0176,2022-12-20,Site Plan Control,407 SMYTH Road,Agreement sent,Post Approval,Melanie Gervais,The proposal is to build a 3 storey addition that provide an additional 22 guest suites and is linked to the current Ronald McDonald House on the CHEO land,2023-07-18 14:56,Ward 18,ALTA VISTA,
D07-12-22-0182,2022-12-22,Site Plan Control,2663 INNES Road,Resubmission Deemed Adequate,Active,Lucy Ramirez,"A Site Plan Control application to construct a four-storey mixed-use building with 18 residential units, three office spaces, and 2,121 square metres of gross floor area (GFA) with 28 vehicle parking spaces and 10 bicycle parking spaces.",2023-07-13 10:20,Ward 2,ORLÉANS WEST-INNES,
D07-12-22-0180,2022-12-22,Site Plan Control,140 LUSK Street,On Circulation; Initial Submission Review,Active,Justin Grift,"Four storey, 88 unit hotel",2023-07-12 15:14,Ward 3,BARRHAVEN WEST,
D07-12-22-0177,2022-12-20,Site Plan Control,3430 CARLING Avenue,On Circulation; Initial Submission Review,Active,Lisa Stern,"Seeks to construct two (2) storey mid rise , residential apartment buildings,containing a total 186 dwelling units, The proposal development will incorporate a mix of underground parking, and limited surface located at the rear of the building",2023-01-16 12:03,Ward 7,BAY,
D07-12-22-0179,2022-12-21,Site Plan Control,2700 SWANSEA Crescent,Initial Review Comments Sent,Active,Craig Hamilton,"Proposal to construct addition to the existing 2-storey medium manufacturing facility at 2700 Swansea Crescent, approximately 1,540SM large and will be constructed above the parking lot as on addition to the south side of the second story of the existing facility.
The purpose of this addition is to provide more research and office space and to expand current operations. No change to the existing
site access is proposed, and the parking ls not significantly altered.",2023-04-03 11:14,Ward 10,GLOUCESTER-SOUTHGATE,
D02-02-22-0126,2022-12-23,Zoning By-law Amendment,1640 CARLING Avenue,Comment Period in Progress,Active,Tracey Scaramozzino,"ZBLA to increase max permitted ht from 9-storeys to 40-storeys,  Future Site Plan to redevelop the land with 6 buildings: Building 1 (20 storeys - rental}, Building 2 (20 storeys - rental}; Building 3 (9 storeys - seniors); Building 4 (12 storeys - condo}, Building 5 {35 storeys - rental}, and Building 6 {35 storeys - rental}. The site will include a public street intersecting and the middle and 3 parks: northwest corner, middle, and southern middle. A road widening is scheduled to take place along Carling Avenue.",2023-04-05 18:05,Ward 16,RIVER,
D02-02-22-0126,2022-12-23,Zoning By-law Amendment,1660 CARLING Avenue,Comment Period in Progress,Active,Tracey Scaramozzino,"ZBLA to increase max permitted ht from 9-storeys to 40-storeys,  Future Site Plan to redevelop the land with 6 buildings: Building 1 (20 storeys - rental}, Building 2 (20 storeys - rental}; Building 3 (9 storeys - seniors); Building 4 (12 storeys - condo}, Building 5 {35 storeys - rental}, and Building 6 {35 storeys - rental}. The site will include a public street intersecting and the middle and 3 parks: northwest corner, middle, and southern middle. A road widening is scheduled to take place along Carling Avenue.",2023-04-05 18:05,Ward 16,RIVER,
D07-12-22-0183,2022-12-22,Site Plan Control,"73 STE-CECILE, RUE ",Initial Review Comments Sent,Active,Colette Gorni,"It is proposed to develop a three-storey residential apartment building containing 30 dwelling units on the Subject Property. These units will be a mix of one-bedroom units and two-bedrooms units. A main entrance will be provided off of Ste. Cecile Street, as well as separate individual entrances for the ground-floor units facing Ste. Cecile Street. Three parking spaces (one resident and two visitor} will be provided in the rear of the building and 30 bicycle parking spaces are provided. A Minor Zoning By-law Amendment application is required to facilitate the proposed development and is being submitted concurrently with the Site Plan application.",2023-02-10 15:50,Ward 12,RIDEAU-VANIER,
D07-12-22-0183,2022-12-22,Site Plan Control,"79 STE-CECILE, RUE ",Initial Review Comments Sent,Active,Colette Gorni,"It is proposed to develop a three-storey residential apartment building containing 30 dwelling units on the Subject Property. These units will be a mix of one-bedroom units and two-bedrooms units. A main entrance will be provided off of Ste. Cecile Street, as well as separate individual entrances for the ground-floor units facing Ste. Cecile Street. Three parking spaces (one resident and two visitor} will be provided in the rear of the building and 30 bicycle parking spaces are provided. A Minor Zoning By-law Amendment application is required to facilitate the proposed development and is being submitted concurrently with the Site Plan application.",2023-02-10 15:50,Ward 12,RIDEAU-VANIER,
D07-12-22-0183,2022-12-22,Site Plan Control,"83 STE-CECILE, RUE ",Initial Review Comments Sent,Active,Colette Gorni,"It is proposed to develop a three-storey residential apartment building containing 30 dwelling units on the Subject Property. These units will be a mix of one-bedroom units and two-bedrooms units. A main entrance will be provided off of Ste. Cecile Street, as well as separate individual entrances for the ground-floor units facing Ste. Cecile Street. Three parking spaces (one resident and two visitor} will be provided in the rear of the building and 30 bicycle parking spaces are provided. A Minor Zoning By-law Amendment application is required to facilitate the proposed development and is being submitted concurrently with the Site Plan application.",2023-02-10 15:50,Ward 12,RIDEAU-VANIER,
D02-02-22-0123,2022-12-22,Zoning By-law Amendment,"73 STE-CECILE, RUE ",Comment Period in Progress,Active,Colette Gorni,"It is proposed to develop a three-storey residential apartment building containing 30 dwelling units on the Subject Property. These units will be a mix of one-bedroom units and two-bedrooms units. A main entrance will be provided off of Ste. Cecile Street, as well as separate individual entrances for the ground-floor units facing Ste. Cecile Street. Three parking spaces (one resident and two visitor} will be provided in the rear of the building and 30 bicycle parking spaces are provided. A Minor Zoning By-law Amendment application is required to facilitate the proposed development and is being submitted concurrently with the Site Plan application.",2023-01-06 13:18,Ward 12,RIDEAU-VANIER,
D02-02-22-0123,2022-12-22,Zoning By-law Amendment,"79 STE-CECILE, RUE ",Comment Period in Progress,Active,Colette Gorni,"It is proposed to develop a three-storey residential apartment building containing 30 dwelling units on the Subject Property. These units will be a mix of one-bedroom units and two-bedrooms units. A main entrance will be provided off of Ste. Cecile Street, as well as separate individual entrances for the ground-floor units facing Ste. Cecile Street. Three parking spaces (one resident and two visitor} will be provided in the rear of the building and 30 bicycle parking spaces are provided. A Minor Zoning By-law Amendment application is required to facilitate the proposed development and is being submitted concurrently with the Site Plan application.",2023-01-06 13:18,Ward 12,RIDEAU-VANIER,
D02-02-22-0123,2022-12-22,Zoning By-law Amendment,"83 STE-CECILE, RUE ",Comment Period in Progress,Active,Colette Gorni,"It is proposed to develop a three-storey residential apartment building containing 30 dwelling units on the Subject Property. These units will be a mix of one-bedroom units and two-bedrooms units. A main entrance will be provided off of Ste. Cecile Street, as well as separate individual entrances for the ground-floor units facing Ste. Cecile Street. Three parking spaces (one resident and two visitor} will be provided in the rear of the building and 30 bicycle parking spaces are provided. A Minor Zoning By-law Amendment application is required to facilitate the proposed development and is being submitted concurrently with the Site Plan application.",2023-01-06 13:18,Ward 12,RIDEAU-VANIER,
D02-02-22-0124,2022-12-23,Zoning By-law Amendment,2616 EDINBURGH Place,Application Approved by Council,Post Approval,Justin Grift,"1,103 square metre addition to the existing building and outdoor storage. Addition will include six (6) servicing bays, stock/storage room, staff amenity area, and sales/display area. Includes a partial second storey. Proposal also includes a gravel outdoor storage area.",2023-07-12 09:34,Ward 18,ALTA VISTA,
D02-02-22-0124,2022-12-23,Zoning By-law Amendment,2628 EDINBURGH Place,Application Approved by Council,Post Approval,Justin Grift,"1,103 square metre addition to the existing building and outdoor storage. Addition will include six (6) servicing bays, stock/storage room, staff amenity area, and sales/display area. Includes a partial second storey. Proposal also includes a gravel outdoor storage area.",2023-07-12 09:34,Ward 18,ALTA VISTA,
D02-02-22-0124,2022-12-23,Zoning By-law Amendment,2628 EDINBURGH Place,Application Approved by Council,Post Approval,Justin Grift,"1,103 square metre addition to the existing building and outdoor storage. Addition will include six (6) servicing bays, stock/storage room, staff amenity area, and sales/display area. Includes a partial second storey. Proposal also includes a gravel outdoor storage area.",2023-07-12 09:34,Ward 18,ALTA VISTA,
D07-12-22-0184,2022-12-23,Site Plan Control,2616 EDINBURGH Place,Initial Review Comments Sent,Active,Justin Grift,"1,103 square metre addition to the existing building and outdoor storage. Addition will include six (6) servicing bays, stock/storage room, staff amenity area, and sales/display area. Includes a partial second storey. Proposal also includes a gravel outdoor storage area.",2023-03-23 15:23,Ward 18,ALTA VISTA,
D07-12-22-0184,2022-12-23,Site Plan Control,2628 EDINBURGH Place,Initial Review Comments Sent,Active,Justin Grift,"1,103 square metre addition to the existing building and outdoor storage. Addition will include six (6) servicing bays, stock/storage room, staff amenity area, and sales/display area. Includes a partial second storey. Proposal also includes a gravel outdoor storage area.",2023-03-23 15:23,Ward 18,ALTA VISTA,
D07-12-22-0184,2022-12-23,Site Plan Control,2628 EDINBURGH Place,Initial Review Comments Sent,Active,Justin Grift,"1,103 square metre addition to the existing building and outdoor storage. Addition will include six (6) servicing bays, stock/storage room, staff amenity area, and sales/display area. Includes a partial second storey. Proposal also includes a gravel outdoor storage area.",2023-03-23 15:23,Ward 18,ALTA VISTA,
D07-12-22-0185,2022-12-23,Site Plan Control,9 BECKENHAM Lane,Initial Circulation Period Completed,Active,Stephen Belan,"The proposed development at 1765 Montreal Rd. is a tiered 9-storey apartment building with surface parking on the podium accessed via Montreal Rd. and one level of underground parking accessed via Beckenham Ln. It will have 159 rental units varying in size, and 194 parking spaces (162 resident and 32 visitor). The proposed development at 9 Beckenham Ln. is two sets of 6 standard townhouses for a 1 total of 12 units with individual front entrances and garages. The townhouses will be a condominium project, it will have 12 parking spaces, and each unit will be a 3-bedroom unit. As per section 102, (4), visitor parking is not required for the townhouses.",2023-02-16 12:16,Ward 11,BEACON HILL-CYRVILLE,
